,Date,Symbol
575,2015-01-01,PTC
576,2015-01-01,RCOM
577,2015-01-01,JPASSOCIAT
578,2015-01-01,GODREJIND
579,2015-01-01,IFCI
580,2015-01-01,IRB
581,2015-01-01,INDIACEM
582,2015-01-01,WOCKPHARMA
583,2015-01-01,IDFC
584,2015-01-01,JISLJALEQS
585,2015-01-01,NHPC
586,2015-01-01,ORIENTBANK
587,2015-01-01,SYNDIBANK
588,2015-01-01,KTKBANK
589,2015-01-01,ALBK
590,2015-01-01,TATACOMM
591,2015-01-01,RPOWER
592,2015-01-01,BHARATFIN
593,2015-01-01,HINDZINC
594,2015-01-01,RELINFRA
595,2015-01-01,RELCAPITAL
596,2015-01-01,ARVIND
597,2015-01-01,OFSS
598,2015-01-01,IDBI
599,2015-01-01,ENGINERSIN
600,2015-01-01,STAR
601,2015-01-01,BANKINDIA
602,2015-01-01,UNIONBANK
603,2015-01-01,HEXAWARE
604,2015-01-01,DISHTV
605,2015-01-01,TATAMTRDVR
606,2015-01-01,TATACONSUM
607,2015-01-01,CESC
608,2015-01-01,YESBANK
609,2015-01-01,ADANIPOWER
610,2015-01-01,JUSTDIAL
611,2015-01-01,CENTURYTEX
612,2015-01-01,MINDTREE
613,2015-01-01,SRTRANSFIN
614,2015-01-01,HDFC
615,2015-01-01,IBULHSGFIN
616,2015-01-01,L_TFH
617,2015-01-01,ZEEL
618,2015-01-01,TCS
619,2015-01-01,UPL
620,2015-01-01,SIEMENS
621,2015-01-01,SBIN
622,2015-01-01,SAIL
623,2015-01-01,VOLTAS
624,2015-01-01,VEDL
625,2015-01-01,RECLTD
626,2015-01-01,RELIANCE
627,2015-01-01,TATAMOTORS
628,2015-01-01,TITAN
629,2015-01-01,TATAPOWER
630,2015-01-01,TATASTEEL
631,2015-01-01,TECHM
632,2015-01-01,UBL
633,2015-01-01,ULTRACEMCO
634,2015-01-01,SUNPHARMA
635,2015-01-01,SUNTV
636,2015-01-01,TVSMOTOR
637,2015-01-01,TATACHEM
638,2015-01-01,WIPRO
639,2015-01-01,CIPLA
640,2015-01-01,COALINDIA
641,2015-01-01,COLPAL
642,2015-01-01,DABUR
643,2015-01-01,DIVISLAB
644,2015-01-01,DLF
645,2015-01-01,CANBK
646,2015-01-01,DRREDDY
647,2015-01-01,EXIDEIND
648,2015-01-01,FEDERALBNK
649,2015-01-01,GAIL
650,2015-01-01,GLENMARK
651,2015-01-01,GMRINFRA
652,2015-01-01,GRASIM
653,2015-01-01,HAVELLS
654,2015-01-01,EICHERMOT
655,2015-01-01,HCLTECH
656,2015-01-01,BOSCHLTD
657,2015-01-01,ACC
658,2015-01-01,ADANIENT
