,Stock,Start Date,End Date,Accord Code,Sr.No.,Company Name,CD_BSE Code,CD_Bse Scrip Name,CD_NSE Symbol,CD_ISIN No
163,PERSISTENT,01-10-2021,31-12-2024,210590,2717,Persistent Systems Ltd.,533179.0,PERSISTENT,PERSISTENT,INE262H01021
164,OBEROIRLTY,01-10-2021,31-12-2024,220018,2563,Oberoi Realty Ltd.,533273.0,OBEROI REAL,OBEROIRLTY,INE093I01010
165,JKCEMENT,01-10-2021,31-12-2024,132644,1718,JK Cement Ltd.,532644.0,JK CEMENT,JKCEMENT,INE823G01014
166,DALBHARAT,01-10-2021,31-12-2024,293380,765,Dalmia Bharat Ltd.,542216.0,DALBHARAT,DALBHARAT,INE00R701025
167,CROMPTON,01-10-2021,31-12-2024,280713,740,Crompton Greaves Consumer Electricals Ltd.,539876.0,CROMPTON,CROMPTON,INE299U01018
168,RELIANCE,29-12-2006,31-12-2024,100325,2970,Reliance Industries Ltd.,500325.0,RELIANCE,RELIANCE,INE002A01018
169,SBILIFE,01-05-2020,31-12-2024,211385,3141,SBI Life Insurance Company Ltd.,540719.0,SBILIFE,SBILIFE,INE123W01016
170,ASTRAL,30-07-2021,31-12-2024,132830,307,Astral Ltd.,532830.0,ASTRAL,ASTRAL,INE006I01046
171,ICICIGI,02-11-2020,31-12-2024,217379,1445,ICICI Lombard General Insurance Company Ltd.,540716.0,ICICIGI,ICICIGI,INE765G01017
172,TATACONSUM,27-02-2020,31-12-2024,100800,3557,Tata Consumer Products Ltd.,500800.0,TATACONSUM,TATACONSUM,INE192A01025
173,NAVINFLUOR,26-02-2021,31-12-2024,132504,2329,Navin Fluorine International Ltd.,532504.0,NAVIN FLUORI,NAVINFLUOR,INE048G01026
174,TATAMOTORS,29-12-2006,31-12-2024,100570,3564,Tata Motors Ltd.,500570.0,TATA MOTORS,TATAMOTORS,INE155A01022
175,NAM_INDIA,26-02-2021,31-12-2024,209078,2518,Nippon Life India Asset Management Ltd.,540767.0,NAM-INDIA,NAM-INDIA,INE298J01013
176,TORNTPHARM,01-01-2016,31-12-2024,100420,3679,Torrent Pharmaceuticals Ltd.,500420.0,TORRENT PHAR,TORNTPHARM,INE685A01028
177,TITAN,29-12-2006,31-12-2024,100114,3672,Titan Company Ltd.,500114.0,TITAN,TITAN,INE280A01028
178,AUBANK,26-02-2021,31-12-2024,286335,323,AU Small Finance Bank Ltd.,540611.0,AUBANK,AUBANK,INE949L01017
179,TATAPOWER,29-12-2006,31-12-2024,100400,3569,Tata Power Company Ltd.,500400.0,TATA POWER,TATAPOWER,INE245A01021
180,LTIM,26-02-2021,31-12-2024,216156,1996,LTIMindtree Ltd.,540005.0,LTIM,LTIM,INE214T01019
181,IRCTC,26-02-2021,31-12-2024,208412,1541,Indian Railway Catering And Tourism Corporation Ltd.,542830.0,IRCTC,IRCTC,INE335Y01020
182,GUJGASLTD,26-02-2021,31-12-2024,249927,1280,Gujarat Gas Ltd.,539336.0,GUJGASLTD,GUJGASLTD,INE844O01030
183,TATASTEEL,29-12-2006,31-12-2024,100470,3573,Tata Steel Ltd.,500470.0,TATA STEEL,TATASTEEL,INE081A01020
184,DEEPAKNTR,26-02-2021,31-12-2024,106401,803,Deepak Nitrite Ltd.,506401.0,DEEPAKNTR,DEEPAKNTR,INE288B01029
185,CUB,26-02-2021,31-12-2024,132210,674,City Union Bank Ltd.,532210.0,CITY UNION,CUB,INE491A01021
186,LTTS,26-02-2021,31-12-2024,268618,1925,L&T Technology Services Ltd.,540115.0,LTTS,LTTS,INE010V01017
187,TECHM,05-09-2007,31-12-2024,132755,3590,Tech Mahindra Ltd.,532755.0,TECH MAH,TECHM,INE669C01036
188,ALKEM,26-02-2021,31-12-2024,212427,152,Alkem Laboratories Ltd.,539523.0,ALKEM,ALKEM,INE540L01014
189,UBL,03-10-2013,31-12-2024,132478,3773,United Breweries Ltd.,532478.0,UNITED BREWA,UBL,INE686F01025
190,ULTRACEMCO,29-12-2006,31-12-2024,132538,3753,Ultratech Cement Ltd.,532538.0,ULTRATECH CM,ULTRACEMCO,INE481G01011
191,METROPOLIS,22-06-2021,31-12-2024,235506,2151,Metropolis Healthcare Ltd.,542650.0,METROPOLIS,METROPOLIS,INE112L01020
192,SUNPHARMA,29-12-2006,31-12-2024,124715,3451,Sun Pharmaceutical Industries Ltd.,524715.0,SUN PHARMA.,SUNPHARMA,INE044A01036
193,COROMANDEL,22-06-2021,31-12-2024,106395,719,Coromandel International Ltd.,506395.0,COROM INTER,COROMANDEL,INE169A01031
194,ABFRL,22-06-2021,31-12-2024,210591,65,Aditya Birla Fashion and Retail Ltd.,535755.0,ABFRL,ABFRL,INE647O01011
195,SUNTV,29-12-2006,31-12-2024,132733,3453,Sun TV Network Ltd.,532733.0,SUN TVNET,SUNTV,INE424H01027
196,TVSMOTOR,10-09-2014,31-12-2024,132343,3733,TVS Motor Company Ltd.,532343.0,TVS MOTOR L,TVSMOTOR,INE494B01023
197,HDFCAMC,01-01-2021,31-12-2024,208280,1321,HDFC Asset Management Company Ltd.,541729.0,HDFCAMC,HDFCAMC,INE127D01025
198,TRENT,26-02-2021,31-12-2024,100251,3702,Trent Ltd.,500251.0,TRENT LTD.,TRENT,INE849A01020
199,PIIND,26-02-2021,31-12-2024,123642,2731,PI Industries Ltd.,523642.0,PI INDUS.LTD,PIIND,INE603J01030
200,TATACHEM,29-12-2006,31-12-2024,100770,3553,Tata Chemicals Ltd.,500770.0,TATA CHEM.,TATACHEM,INE092A01019
201,LALPATHLAB,01-01-2021,31-12-2024,218763,877,Dr. Lal Pathlabs Ltd.,539524.0,LALPATHLAB,LALPATHLAB,INE600L01024
202,TATACOMM,31-12-2021,31-12-2024,100483,3555,Tata Communications Ltd.,500483.0,TATA COMM,TATACOMM,INE151A01013
203,AARTIIND,01-01-2021,31-12-2024,124208,22,Aarti Industries Ltd.,524208.0,AARTI INDUST,AARTIIND,INE769A01020
204,ZYDUSLIFE,07-03-2022,31-12-2024,132321,4061,Zydus Lifesciences Ltd.,532321.0,ZYDUSLIFE,ZYDUSLIFE,INE010B01027
205,WIPRO,29-12-2006,31-12-2024,107685,3999,Wipro Ltd.,507685.0,WIPRO LTD.,WIPRO,INE075A01022
206,MANAPPURAM,30-06-2017,31-12-2024,131213,2065,Manappuram Finance Ltd.,531213.0,MANAP FIN,MANAPPURAM,INE522D01027
207,RAMCOCEM,26-05-2017,31-12-2024,100260,3639,The Ramco Cements Ltd.,500260.0,RAMCOCEM,RAMCOCEM,INE331A01037
208,CANFINHOME,27-08-2021,31-12-2024,111196,588,Can Fin Homes Ltd.,511196.0,CANFIN HOMES,CANFINHOME,INE477A01020
