,Unnamed: 0,Symbol,Start,End,Company Name,Accord Code,Prev Date,Curr Price,Curr Date,Prev Price,Returns,Diff
132,132,TATACONSUM,2013-04-26,2013-05-30,Tata Consumer Products Ltd.,100800,2013-04-26,148.0,2013-05-30,140.4,0.05413105413105409,"34 days, 0:00:00"
133,133,TATAMTRDVR,2013-04-26,2013-05-30,Tata Motors Ltd. - DVR Ordinary,217889,2013-04-26,171.110769695762,2013-05-30,168.389227667633,0.01616220981487473,"34 days, 0:00:00"
134,134,BATAINDIA,2013-04-26,2013-05-30,Bata India Ltd.,100043,2013-04-26,412.725,2013-05-30,356.95,0.15625437736377654,"34 days, 0:00:00"
135,135,MARUTI,2013-04-26,2013-05-30,Maruti Suzuki India Ltd.,132500,2013-04-26,1637.5,2013-05-30,1673.15,-0.021307115321399808,"34 days, 0:00:00"
136,136,LT,2013-04-26,2013-05-30,Larsen & Toubro Ltd.,100510,2013-04-26,634.422222222222,2013-05-30,684.822222222222,-0.07359574260959859,"34 days, 0:00:00"
137,137,SYNDIBANK,2013-04-26,2013-05-30,Syndicate Bank - (Amalgamated),132276,2013-04-26,131.75,2013-05-30,117.35,0.1227098423519387,"34 days, 0:00:00"
138,138,HCLTECH,2013-04-26,2013-05-30,HCL Technologies Ltd.,132281,2013-04-26,185.5,2013-05-30,171.0625,0.08439897698209718,"34 days, 0:00:00"
139,139,INDUSINDBK,2013-04-26,2013-05-30,IndusInd Bank Ltd.,132187,2013-04-26,528.85,2013-05-30,458.15,0.1543162719633309,"34 days, 0:00:00"
140,140,TECHM,2013-04-26,2013-05-30,Tech Mahindra Ltd.,132755,2013-04-26,244.7,2013-05-30,231.575,0.05667710245060996,"34 days, 0:00:00"
141,141,ICICIBANK,2013-04-26,2013-05-30,ICICI Bank Ltd.,132174,2013-04-26,215.054545454545,2013-05-30,208.090909090909,0.0334643949322831,"34 days, 0:00:00"
142,142,RELCAPITAL,2013-04-26,2013-05-30,Reliance Capital Ltd.,100111,2013-04-26,336.6,2013-05-30,347.1,-0.030250648228176316,"34 days, 0:00:00"
143,143,HAVELLS,2013-04-26,2013-05-30,Havells India Ltd.,117354,2013-04-26,145.0,2013-05-30,128.11,0.13183982515026138,"34 days, 0:00:00"
144,144,TITAN,2013-04-26,2013-05-30,Titan Company Ltd.,100114,2013-04-26,301.0,2013-05-30,264.0,0.14015151515151514,"34 days, 0:00:00"
145,145,ZEEL,2013-04-26,2013-05-30,Zee Entertainment Enterprises Ltd.,105537,2013-04-26,235.0,2013-05-30,224.0,0.049107142857142856,"34 days, 0:00:00"
146,146,HDIL,2013-04-26,2013-05-30,Housing Development And Infrastructure Ltd.,132873,2013-04-26,44.6,2013-05-30,53.8,-0.1710037174721189,"34 days, 0:00:00"
147,147,JUBLFOOD,2013-04-26,2013-05-30,Jubilant FoodWorks Ltd.,215367,2013-04-26,110.55,2013-05-30,109.845,0.006418134644271458,"34 days, 0:00:00"
148,148,AXISBANK,2013-04-26,2013-05-30,Axis Bank Ltd.,132215,2013-04-26,286.54,2013-05-30,297.27,-0.03609513237124487,"34 days, 0:00:00"
149,149,MCLEODRUSS,2013-04-26,2013-05-30,Mcleod Russel India Ltd.,132654,2013-04-26,298.1,2013-05-30,320.15,-0.06887396532875201,"34 days, 0:00:00"
150,150,UNITDSPR,2013-05-31,2013-06-27,United Spirits Ltd.,132432,2013-05-31,444.4,2013-06-27,482.9,-0.07972665148063782,"27 days, 0:00:00"
151,151,KTKBANK,2013-05-31,2013-06-27,The Karnataka Bank Ltd.,132652,2013-05-31,80.4166378615048,2013-06-27,101.372354725967,-0.20672023374726148,"27 days, 0:00:00"
152,152,DENABANK,2013-05-31,2013-06-27,Dena Bank - (Amalgamated),132121,2013-05-31,66.0,2013-06-27,84.45,-0.21847246891651867,"27 days, 0:00:00"
153,153,AUROPHARMA,2013-05-31,2013-06-27,Aurobindo Pharma Ltd.,124804,2013-05-31,88.475,2013-06-27,85.2,0.03843896713615013,"27 days, 0:00:00"
154,154,MRF,2013-05-31,2013-06-27,MRF Ltd.,100290,2013-05-31,12524.1,2013-06-27,14895.1,-0.1591798645192043,"27 days, 0:00:00"
